OrderID,Date,Product,Category,BaseCost,SellingPrice,Quantity,TotalSales,CustomerName,CustomerLocation,PaymentMethod,Status
ORD1,01-01-2018,Running Shoes,Footwear,2250,2925,3,8775,Aarav Sharma,Bengaluru,Debit Card,Cancelled
ORD2,01-01-2018,Headphones,Electronics,2500,3000,4,12000,Aditi Singh,Mumbai,Debit Card,Pending
ORD3,01-01-2018,Running Shoes,Footwear,2250,2925,2,5850,Advik Gupta,Delhi,Amazon Pay,Cancelled
ORD4,02-01-2018,Running Shoes,Footwear,2250,2925,3,8775,Ananya Patel,Chennai,Credit Card,Pending
ORD5,02-01-2018,Smartwatch,Electronics,2000,2450,3,7350,Arjun Kumar,Kolkata,Debit Card,Pending
ORD6,03-01-2018,T-Shirt,Clothing,749,1160.95,1,1160.95,Avani Desai,Hyderabad,Credit Card,Pending
ORD7,03-01-2018,Smartwatch,Electronics,2000,2450,4,9800,Ayush Yadav,Pune,PayPal,Completed
ORD8,04-01-2018,Smartphone,Electronics,5991,6679.97,1,6679.97,Disha Jain,Ahmedabad,PayPal,Completed
ORD9,04-01-2018,T-Shirt,Clothing,749,1160.95,3,3482.85,Divya Reddy,Jaipur,PayPal,Completed
ORD10,04-01-2018,Smartphone,Electronics,5991,6679.97,1,6679.97,Eesha Menon,Lucknow,Credit Card,Cancelled
ORD11,04-01-2018,Book,Books,200,230,2,460,Gaurav Sharma,Bengaluru,Amazon Pay,Pending
ORD12,05-01-2018,Jeans,Clothing,1600,2320,4,9280,Ishaan Singh,Mumbai,Credit Card,Completed
ORD13,06-01-2018,Laptop,Electronics,37500,44062.5,2,88125,Jhanvi Gupta,Delhi,Gift Card,Pending
ORD14,06-01-2018,Washing Machine,Home Appliances,16000,19200,3,57600,Kabir Patel,Chennai,Credit Card,Cancelled
ORD15,07-01-2018,Smartwatch,Electronics,2000,2450,4,9800,Kiara Kumar,Kolkata,Credit Card,Completed
ORD16,08-01-2018,Refrigerator,Home Appliances,20000,23000,1,23000,Krish Desai,Hyderabad,Credit Card,Cancelled
ORD17,09-01-2018,T-Shirt,Clothing,749,1160.95,1,1160.95,Manya Yadav,Pune,Amazon Pay,Completed
ORD18,09-01-2018,Smartphone,Electronics,5991,6679.97,2,13359.94,Myra Jain,Ahmedabad,Amazon Pay,Completed
ORD19,09-01-2018,Running Shoes,Footwear,2250,2925,3,8775,Naman Reddy,Jaipur,Credit Card,Completed
ORD20,10-01-2018,Headphones,Electronics,2500,3000,4,12000,Navya Menon,Lucknow,Debit Card,Pending
ORD21,10-01-2018,Headphones,Electronics,2500,3000,3,9000,Om Sharma,Bengaluru,Debit Card,Cancelled
ORD22,11-01-2018,Refrigerator,Home Appliances,20000,23000,4,92000,Pari Singh,Mumbai,Credit Card,Pending
ORD23,11-01-2018,Book,Books,200,230,1,230,Prisha Gupta,Delhi,Credit Card,Pending
ORD24,12-01-2018,Refrigerator,Home Appliances,20000,23000,3,69000,Rishabh Patel,Chennai,Credit Card,Cancelled
ORD25,13-01-2018,Book,Books,200,230,5,1150,Riya Kumar,Kolkata,Amazon Pay,Completed
ORD26,13-01-2018,Washing Machine,Home Appliances,16000,19200,1,19200,Rohan Desai,Hyderabad,Debit Card,Cancelled
ORD27,14-01-2018,T-Shirt,Clothing,749,1160.95,1,1160.95,Ruhi Yadav,Pune,Amazon Pay,Pending
ORD28,15-01-2018,Headphones,Electronics,2500,3000,1,3000,Saisha Jain,Ahmedabad,Amazon Pay,Completed
ORD29,16-01-2018,Smartphone,Electronics,5991,6679.97,1,6679.97,Samar Reddy,Jaipur,Credit Card,Cancelled
ORD30,18-01-2018,Washing Machine,Home Appliances,16000,19200,3,57600,Sara Menon,Lucknow,Gift Card,Cancelled
ORD31,18-01-2018,Smartphone,Electronics,5991,6679.97,1,6679.97,Shaurya Sharma,Bengaluru,Gift Card,Pending
ORD32,18-01-2018,Smartphone,Electronics,5991,6679.97,4,26719.88,Siya Singh,Mumbai,PayPal,Pending
ORD33,18-01-2018,Book,Books,200,230,1,230,Tanvi Gupta,Delhi,Debit Card,Cancelled
ORD34,19-01-2018,T-Shirt,Clothing,749,1160.95,5,5804.75,Tejas Patel,Chennai,Credit Card,Pending
ORD35,24-01-2018,Laptop,Electronics,37500,44062.5,3,132187.5,Trisha Kumar,Kolkata,Amazon Pay,Completed
ORD36,27-01-2018,Refrigerator,Home Appliances,20000,23000,2,46000,Uday Desai,Hyderabad,PayPal,Cancelled
ORD37,28-01-2018,Headphones,Electronics,2500,3000,3,9000,Vanya Yadav,Pune,Debit Card,Cancelled
ORD38,28-01-2018,Laptop,Electronics,37500,44062.5,3,132187.5,Vedika Jain,Ahmedabad,Amazon Pay,Completed
ORD39,28-01-2018,Laptop,Electronics,37500,44062.5,2,88125,Vivaan Reddy,Jaipur,PayPal,Completed
ORD40,29-01-2018,Smartwatch,Electronics,2000,2450,1,2450,Zara Menon,Lucknow,Gift Card,Pending
ORD41,30-01-2018,Book,Books,200,230,1,230,Aaradhya Sharma,Bengaluru,Credit Card,Cancelled
ORD42,31-01-2018,Headphones,Electronics,2500,3000,3,9000,Advait Singh,Mumbai,Amazon Pay,Cancelled
ORD43,02-02-2018,T-Shirt,Clothing,749,1160.95,4,4643.8,Akira Gupta,Delhi,Credit Card,Pending
ORD44,02-02-2018,Smartwatch,Electronics,2000,2450,1,2450,Aryan Patel,Chennai,Debit Card,Pending
ORD45,03-02-2018,Refrigerator,Home Appliances,20000,23000,3,69000,Avni Kumar,Kolkata,Credit Card,Pending
ORD46,05-02-2018,Running Shoes,Footwear,2250,2925,2,5850,Devansh Desai,Hyderabad,Debit Card,Cancelled
ORD47,05-02-2018,T-Shirt,Clothing,749,1160.95,2,2321.9,Dhruv Yadav,Pune,Gift Card,Cancelled
ORD48,05-02-2018,T-Shirt,Clothing,749,1160.95,5,5804.75,Eva Jain,Ahmedabad,Amazon Pay,Completed
ORD49,07-02-2018,Smartphone,Electronics,5991,6679.97,4,26719.88,Gia Reddy,Jaipur,Debit Card,Completed
ORD50,07-02-2018,Jeans,Clothing,1600,2320,3,6960,Hrehaan Menon,Lucknow,Gift Card,Completed
ORD51,11-02-2018,Book,Books,200,230,1,230,Ira Sharma,Bengaluru,Gift Card,Cancelled
ORD52,11-02-2018,Laptop,Electronics,37500,44062.5,3,132187.5,Kairav Singh,Mumbai,Credit Card,Pending
ORD53,12-02-2018,Running Shoes,Footwear,2250,2925,4,11700,Lara Gupta,Delhi,PayPal,Completed
ORD54,12-02-2018,Smartwatch,Electronics,2000,2450,3,7350,Mishka Patel,Chennai,Gift Card,Pending
ORD55,13-02-2018,Jeans,Clothing,1600,2320,2,4640,Naisha Kumar,Kolkata,PayPal,Completed
ORD56,15-02-2018,Smartwatch,Electronics,2000,2450,2,4900,Pranav Desai,Hyderabad,Credit Card,Completed
ORD57,15-02-2018,Smartphone,Electronics,5991,6679.97,1,6679.97,Reyansh Yadav,Pune,Debit Card,Cancelled
ORD58,16-02-2018,Smartphone,Electronics,5991,6679.97,1,6679.97,Shanaya Jain,Ahmedabad,PayPal,Cancelled
ORD59,17-02-2018,Smartwatch,Electronics,2000,2450,2,4900,Sia Reddy,Jaipur,Credit Card,Cancelled
ORD60,19-02-2018,Book,Books,200,230,5,1150,Tanish Menon,Lucknow,Credit Card,Pending
ORD61,19-02-2018,Refrigerator,Home Appliances,20000,23000,1,23000,Vihan Sharma,Bengaluru,PayPal,Cancelled
ORD62,20-02-2018,Laptop,Electronics,37500,44062.5,5,220312.5,Vrinda Singh,Mumbai,PayPal,Completed
ORD63,22-02-2018,Smartphone,Electronics,5991,6679.97,5,33399.85,Yashvi Gupta,Delhi,Gift Card,Completed
ORD64,22-02-2018,Refrigerator,Home Appliances,20000,23000,4,92000,Yuvaan Patel,Chennai,PayPal,Pending
ORD65,24-02-2018,Book,Books,200,230,3,690,Zoya Kumar,Kolkata,Amazon Pay,Pending
ORD66,24-02-2018,Smartwatch,Electronics,2000,2450,2,4900,Aaditya Desai,Hyderabad,PayPal,Pending
ORD67,28-02-2018,Headphones,Electronics,2500,3000,3,9000,Amara Yadav,Pune,Debit Card,Pending
ORD68,28-02-2018,Headphones,Electronics,2500,3000,1,3000,Ansh Jain,Ahmedabad,Debit Card,Cancelled
ORD69,01-03-2018,Refrigerator,Home Appliances,20000,23000,4,92000,Bhavya Reddy,Jaipur,Gift Card,Pending
ORD70,01-03-2018,Book,Books,200,230,1,230,Chahat Menon,Lucknow,Credit Card,Completed
ORD71,02-03-2018,Smartwatch,Electronics,2000,2450,5,12250,Daksh Sharma,Bengaluru,Credit Card,Pending
ORD72,03-03-2018,Laptop,Electronics,37500,44062.5,3,132187.5,Deepika Singh,Mumbai,Credit Card,Pending
ORD73,03-03-2018,Smartphone,Electronics,5991,6679.97,5,33399.85,Eklavya Gupta,Delhi,Credit Card,Cancelled
ORD74,04-03-2018,Refrigerator,Home Appliances,20000,23000,4,92000,Falguni Patel,Chennai,Gift Card,Cancelled
ORD75,05-03-2018,Headphones,Electronics,2500,3000,2,6000,Gagan Kumar,Kolkata,PayPal,Pending
